mean_length,genomes,chroms
3726.0823529411764,85,"1,6"
627.2941176470588,85,"1,6"
1478.7411764705882,85,"1,6"
1764.235294117647,85,"1,6"
609.75,84,"1,6"
1638.8117647058823,85,"1,6"
958.2558139534884,85,"1,6"
2465.435294117647,85,"1,6"
742.1,11,1
791.0,11,1
814.3953488372093,85,"1,6"
560.0813953488372,85,"1,6"
2825.529411764706,85,"1,6"
587.0,6,1
1289.164705882353,85,"1,6"
1911.6588235294118,85,"1,6"
2749.4117647058824,85,"1,6"
1879.3647058823528,85,"1,6"
547.2705882352941,85,"1,6"
1926.035294117647,85,"1,6"
6731.7411764705885,85,"1,6"
774.952380952381,84,"1,6"
645.8352941176471,85,"1,6"
3298.8,85,"1,6"
907.9404761904761,84,"1,6"
1070.8117647058823,85,"1,6"
517.9058823529411,85,"1,6"
1463.3176470588235,85,"1,6"
1822.164705882353,85,"1,6"
1474.7176470588236,85,"1,6"
2341.929411764706,85,"1,6"
1301.5697674418604,85,"1,6"
1092.8255813953488,85,"1,6"
1504.9882352941177,85,"1,6"
1303.2823529411764,85,"1,6"
735.5529411764705,85,"1,6"
2498.4470588235295,85,"1,6"
843.3882352941176,85,"1,6"
1152.2,85,"1,6"
3221.211764705882,85,"1,6"
1336.894117647059,85,"1,6"
1402.25,4,1
747.6705882352941,85,"1,6"
991.8235294117648,85,"1,6"
3094.258823529412,85,"1,6"
1119.0117647058823,85,"1,6"
1052.8735632183907,85,"1,6"
1661.9302325581396,85,"1,6"
607.6,10,1
522.9090909090909,11,1
629.0588235294117,85,"1,6"
851.7294117647059,85,"1,6"
607.2222222222222,9,1
2530.6588235294116,85,"1,6"
598.3456790123457,81,"1,6"
813.4588235294118,85,"1,6"
679.1071428571429,84,"1,6"
514.952380952381,84,"1,6"
3933.705882352941,85,"1,6"
910.289156626506,65,"1,6"
1381.6341463414635,65,"1,6"
1042.5487804878048,65,"1,6"
952.9382716049382,62,"1,6"
744.5625,62,"1,6"
520.5443037974684,61,"1,6"
1859.1772151898733,61,"1,6"
1302.759493670886,61,"1,6"
837.2564102564103,61,"1,6"
1125.922077922078,60,"1,6"
5581.368421052632,18,1
1578.6315789473683,18,1
1337.842105263158,18,1
537.7222222222222,16,1
2277.705882352941,85,"1,6"
2359.705882352941,85,"1,6"
1822.1764705882354,85,"1,6"
3751.3333333333335,3,1
937.0,3,1
1220.3333333333333,3,1
4008.8,5,1
905.6363636363636,8,1
1092.1666666666667,6,1
1205.9651162790697,85,"1,6"
1123.2823529411764,85,"1,6"
