mean_length,genomes,chroms
924.6666666666666,15,1
847.0666666666667,30,1
1465.8387096774193,31,1
1678.2571428571428,35,1
523.59375,32,1
752.8461538461538,39,1
685.625,56,1
3595.035087719298,57,1
628.6315789473684,57,1
1778.1929824561403,57,1
572.7321428571429,56,1
2899.0,58,1
724.2407407407408,54,1
1118.7068965517242,58,1
605.6129032258065,58,1
826.6774193548387,58,1
2766.2258064516127,58,1
1461.9166666666667,36,1
6392.862068965517,58,1
1059.603448275862,58,1
888.8275862068965,58,1
2170.2413793103447,58,1
2661.6724137931033,58,1
709.8070175438596,56,1
1624.6949152542372,58,1
1318.4827586206898,58,1
1831.8620689655172,58,1
777.1896551724138,58,1
668.3620689655172,58,1
693.5172413793103,58,1
819.5344827586207,58,1
545.3728813559322,58,1
762.542372881356,58,1
1907.915254237288,58,1
2085.896551724138,58,1
626.1616161616162,9,1
720.1428571428571,7,1
983.0714285714286,14,1
3139.2758620689656,58,1
1566.6724137931035,58,1
5885.293103448276,58,1
1212.5084745762713,58,1
2013.2931034482758,58,1
1797.9310344827586,58,1
814.28125,32,1
1069.7758620689656,58,1
664.1363636363636,44,1
1083.0,58,1
855.9322033898305,58,1
603.2666666666667,30,1
3331.2181818181816,55,1
1347.9636363636364,55,1
907.8909090909091,55,1
751.8727272727273,55,1
590.8545454545455,55,1
1113.4363636363637,55,1
2753.4,55,1
581.9848484848485,57,1
1520.8275862068965,58,1
701.02,50,1
850.4827586206897,58,1
1759.2068965517242,58,1
527.7758620689655,58,1
1423.0344827586207,58,1
2993.3275862068967,58,1
1485.8620689655172,58,1
931.2758620689655,58,1
1590.5,58,1
2662.896551724138,58,1
655.2439024390244,41,1
2197.7586206896553,58,1
4647.0,55,1
1467.8363636363636,55,1
5426.372881355932,58,1
1425.155172413793,58,1
1390.344827586207,58,1
1603.2033898305085,58,1
1593.1016949152543,58,1
556.566037735849,53,1
2156.310344827586,58,1
563.8245614035088,57,1
1275.2413793103449,58,1
3424.4310344827586,58,1
6153.982758620689,58,1
1838.2241379310344,58,1
6245.017241379311,58,1
528.3275862068965,58,1
1156.7931034482758,58,1
2068.9310344827586,58,1
2380.9137931034484,58,1
2295.0172413793102,58,1
3330.5689655172414,58,1
1551.0338983050847,58,1
6133.051724137931,58,1
3507.206896551724,58,1
2514.5689655172414,58,1
3035.051724137931,58,1
1500.5172413793102,58,1
1991.3529411764705,50,1
660.9310344827586,58,1
657.4237288135594,58,1
1608.2542372881355,58,1
1305.5254237288136,58,1
1449.8793103448277,58,1
3049.7413793103447,58,1
2945.948275862069,58,1
2589.310344827586,58,1
3901.0689655172414,58,1
5096.482758620689,58,1
654.9310344827586,58,1
939.8103448275862,58,1
1065.915254237288,58,1
5799.517241379311,58,1
3342.6724137931033,58,1
559.7796610169491,58,1
1522.3728813559321,58,1
1012.0,2,1
3236.810344827586,58,1
873.5833333333334,36,1
2336.4827586206898,58,1
2157.9655172413795,58,1
1811.4137931034484,58,1
575.2,25,1
902.52,25,1
1080.0925925925926,54,1
2886.9310344827586,58,1
1710.844827586207,58,1
11180.362068965518,58,1
1461.593220338983,58,1
5230.948275862069,58,1
1442.3793103448277,58,1
837.448275862069,58,1
559.948275862069,58,1
742.5833333333334,12,1
2889.637931034483,58,1
1053.3103448275863,58,1
6866.431034482759,58,1
1620.9137931034484,58,1
535.7678571428571,56,1
817.7413793103449,58,1
1147.6724137931035,58,1
2242.637931034483,58,1
617.5263157894736,57,1
1326.7758620689656,58,1
1515.1206896551723,58,1
539.3333333333334,48,1
2213.948275862069,58,1
6977.689655172414,58,1
1070.9310344827586,58,1
1788.896551724138,58,1
2718.8793103448274,58,1
706.8245614035088,57,1
1470.051724137931,58,1
870.3965517241379,58,1
1806.155172413793,58,1
3916.051724137931,58,1
1958.344827586207,58,1
862.8620689655172,58,1
5935.431034482759,58,1
727.948275862069,58,1
